category,token,value_de,value_en,type,rdc,mandatory,multiple,logic,expl_de,expl_en,tenant,,,
License Property,Hosting: Solution,Hostingrecht: Lösung,Hosting: Solution,class com.k_int.kbplus.RefdataValue,license.arc.hosting.solution,,true,,"Aussagen, über welche technische Lösung das Material angeboten wird.",,,,,
License Property,ILL electronic,Fernleihe elektronisch,ILL electronic,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussage darüber, ob die Fernleihe mittels einer elektron. Kopie bedient werden darf.",The right to provide the licensed materials via interlibrary loan by way of electronic copies.,,,,
License Property,ILL print or fax,Fernleihe per Papier oder Fax,ILL print or fax,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussage darüber, ob die Fernleihe mittels  Fax oder gedruckter Kopien bedient werden darf.",The right to provide the licensed materials via interlibrary loan by way of print copies or facsimile transmission.,,,,
License Property,ILL record keeping required,Fernleihdatensatz muss gespeichert werden,ILL record keeping required,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussage darüber, ob der Fernleihdatensatz aufbewahrt werden muss.",The requirement to keep records of interlibrary loan activity and provide reports to the licensor at periodic intervals or upon request.,,,,
License Property,ILL secure electronic transmission,Fernleihe über sichere elektronische Übermittlung,ILL secure electronic transmission,class com.k_int.kbplus.RefdataValue,permissions,,,,"Aussage darüber, ob die Fernleihe über sichere, elektron. Übermittlungswege bedient werden darf.",The right to provide the licensed materials via interlibrary loan by way of secure electronic transmission.,,,,
License Property,ILL term note,Fernleihe Weitere Bedingungen,ILL term note,class java.lang.String,,,,,Weitere Bedingungen zur Fernleihe.,Additional information related to interlibrary loan.,,,,
License Property,Ill ZETA code,Fernleihindikator: Lieferweg,Ill ZETA code,class com.k_int.kbplus.RefdataValue,ill.code,,,,"Fernleihindikator nach DNB/ZDB, 1. Position: Bestellaufgabe und Lieferweg",,,,,
License Property,Ill ZETA electronic fobidden,Fernleihindikator: Elektronische Übertragung zwischen Bibliotheken ausgeschlossen,Ill ZETA electronic fobidden,class com.k_int.kbplus.RefdataValue,y.n,,,,"Fernleihindikator nach DNB/ZDB, 3. Position: Elektronische Übertragung zwischen Bibliotheken ausgeschlossen",,,,,
License Property,Ill ZETA inland only,Fernleihindikator: Inland,Ill ZETA inland only,class com.k_int.kbplus.RefdataValue,y.n,,,,"Fernleihindikator nach DNB/ZDB, 2. Position: Nur Inland",,,,,
License Property,Indemnification by licensee clause indicator,Entschädigung durch den Lizenznehmer,Indemnification by licensee clause indicator,class com.k_int.kbplus.RefdataValue,y.n.o,,,,"Aussage darüber, inwieweit der Lizenznehmer den Lizenzgeber von juristischen Ansprüchen schadlos hält.","A clause by which the licensee agrees to indemnify the licensor against a legal claim, usually for a breach of agreement by the licensee.",,,,
